Culture;CultureID_Session_Subject_Task;UserIDHash;Partition_Index(AVEC19);Partition_Index(AVEC18)
German;C3_S083_P166_VC1;5ce6f9b9-43a7-46bf-b4f3-f3e45d262b8a;Train_DE_01;Train_01
German;C3_S090_P180_VC1;31f22fbb-bb35-4e5c-ac31-98dbd5178bc7;Train_DE_02;Train_02
German;C3_S073_P146_VC1;a783b375-2283-42e9-9ba3-2135d89cc1b1;Train_DE_03;Train_03
German;C3_S089_P178_VC1;0f9703e1-c7b1-4906-a299-79b09550cb12;Train_DE_04;Train_04
German;C3_S086_P171_VC1;7a8b6d32-ec2a-4170-9c3b-bf9b358e8a2f;Train_DE_05;Train_05
German;C3_S064_P128_VC1;efaba100-712e-49fe-9018-d91d5c2f41eb;Train_DE_06;Train_06
German;C3_S082_P164_VC1;5718bfd6-d71d-4688-8641-cd48e2e1cbe0;Train_DE_07;Train_07
German;C3_S074_P147_VC1;af466974-9f16-467b-8f33-26e1eb1227b6;Train_DE_08;Train_08
German;C3_S094_P187_VC1;ca200bf7-426c-4004-8dac-cf71ee0198c6;Train_DE_09;Train_09
German;C3_S064_P127_VC1;53a74850-840f-4ec4-9038-26b181ba011e;Train_DE_10;Train_10
German;C3_S077_P154_VC1;243099ca-2805-4ca6-9174-d37defc80926;Train_DE_11;Train_11
German;C3_S074_P148_VC1;e4a33f16-04aa-47e7-8239-c249fa3504d6;Train_DE_12;Train_12
German;C3_S077_P153_VC1;8c8ceac4-b7a2-4d7e-9e78-cccf494749fd;Train_DE_13;Train_13
German;C3_S089_P177_VC1;ad1f7c6f-7fcb-4cc5-8ec8-e270a2775da2;Train_DE_14;Train_14
German;C3_S072_P144_VC1;f20f0139-cb7d-4629-b4f5-bd245a6d0512;Train_DE_15;Train_15
German;C3_S090_P179_VC1;5b35ab9b-6be9-46bc-86f8-468237b3571a;Train_DE_16;Train_16
German;C3_S080_P159_VC1;02f4d9db-f827-4c1d-b4cb-cdba3f493996;Train_DE_17;Train_17
German;C3_S066_P131_VC1;91fc1476-6581-49e5-96e9-531fb1198af2;Train_DE_18;Train_18
German;C3_S067_P134_VC1;790910ee-9086-43c9-9bca-83b0951dc017;Train_DE_19;Train_19
German;C3_S086_P172_VC1;28a71ac9-2236-4fe4-8191-a580cddd907c;Train_DE_20;Train_20
German;C3_S080_P160_VC1;f6dfff0d-3973-4e9a-bb02-19607139e04f;Train_DE_21;Train_21
German;C3_S067_P133_VC1;1d7dd101-c461-4d9c-b72c-e064b7d36017;Train_DE_22;Train_22
German;C3_S073_P145_VC1;eaaf7bf5-09f1-41a6-bc06-18d9e67be43d;Train_DE_23;Train_23
German;C3_S083_P165_VC1;22d1ab52-ba5b-4fef-827d-01bc4c43511f;Train_DE_24;Train_24
German;C3_S069_P138_VC1;fd8c9ed2-28a7-4afc-b745-afd2da74e77c;Train_DE_25;Train_25
German;C3_S087_P173_VC1;c195827d-cf83-4c00-97ae-da8bbe3d0247;Train_DE_26;Train_26
